x_mm,y_mm,z_mm,sensor_id
-30.8281,-60.3389,39.9606,sensor_1
-33.1491,-55.7393,40.4064,sensor_1
-35.1280,-51.5558,40.4380,sensor_1
-37.9509,-47.3966,39.7187,sensor_1
-39.7020,-43.1434,40.6057,sensor_1
-41.8335,-38.7377,40.1242,sensor_1
-44.7083,-33.9847,40.3219,sensor_1
-46.4628,-30.2187,40.0132,sensor_1
-48.6470,-24.9821,40.5357,sensor_1
-51.5445,-20.4510,39.9026,sensor_1
-53.2968,-16.0374,40.3704,sensor_1
-55.8369,-11.6596,39.7214,sensor_1
-58.3986,-7.0751,40.1109,sensor_1
-60.7415,-3.1118,40.1365,sensor_1
-61.9012,2.0061,40.4090,sensor_1
-65.3399,6.0614,40.2966,sensor_1
-66.8475,10.6960,40.0480,sensor_1
-68.6403,15.5219,40.0968,sensor_1
-71.8681,20.1790,39.9362,sensor_1
-21.2525,-66.7023,39.7995,sensor_1
-23.8396,-63.0369,40.3097,sensor_1
-26.0991,-57.7795,40.3360,sensor_1
-28.4842,-53.6113,40.0344,sensor_1
-30.8789,-48.7669,39.8422,sensor_1
-33.1922,-45.0798,39.7596,sensor_1
-36.0291,-40.2708,39.8549,sensor_1
-37.7504,-36.3155,39.7860,sensor_1
-40.2069,-31.6739,40.9686,sensor_1
-41.8432,-27.0137,39.6025,sensor_1
-44.3794,-23.2343,40.3997,sensor_1
-46.7207,-18.3517,40.0984,sensor_1
-49.1151,-14.4426,40.3322,sensor_1
-51.6648,-9.8683,40.0252,sensor_1
-53.6979,-4.9084,40.4830,sensor_1
-55.6336,-0.4760,40.1375,sensor_1
-57.6904,3.2640,40.2579,sensor_1
-60.5871,7.9335,40.1310,sensor_1
-62.6662,13.0242,40.5146,sensor_1
-65.6145,17.2498,40.8148,sensor_1
-66.7668,22.2364,40.1650,sensor_1
-17.7188,-65.4943,40.3785,sensor_1
-19.1508,-60.9015,40.0355,sensor_1
-21.6648,-56.8030,40.0069,sensor_1
-23.4599,-50.9705,40.0915,sensor_1
-25.6551,-47.4641,39.8458,sensor_1
-29.3495,-42.4904,39.9985,sensor_1
-30.0171,-38.2542,40.1955,sensor_1
-33.7381,-33.3900,40.0026,sensor_1
-35.4321,-30.2322,40.4539,sensor_1
-37.2995,-25.2169,40.1624,sensor_1
-39.7780,-20.2126,40.1666,sensor_1
-41.5822,-16.1793,39.9179,sensor_1
-44.6184,-12.5275,39.8479,sensor_1
-46.3724,-7.0914,39.8439,sensor_1
-48.8721,-3.4353,40.0310,sensor_1
-51.0806,1.9707,39.8597,sensor_1
-53.2146,6.8359,39.9816,sensor_1
-57.8146,14.5466,39.4444,sensor_1
-60.1293,19.5620,40.2013,sensor_1
-62.8175,23.8994,40.4153,sensor_1
-12.1577,-62.9041,39.5539,sensor_1
-14.5828,-58.1622,40.3706,sensor_1
-17.2350,-53.1046,40.1584,sensor_1
-19.3886,-50.1117,39.9293,sensor_1
-24.3489,-40.5632,40.2540,sensor_1
-26.6408,-35.4916,39.7590,sensor_1
-28.8061,-31.5592,39.6940,sensor_1
-30.7185,-26.9660,40.0297,sensor_1
-32.5197,-22.7039,40.2305,sensor_1
-35.7945,-18.8639,39.9111,sensor_1
-37.8407,-13.9820,40.4013,sensor_1
-40.8338,-9.7646,39.4925,sensor_1
-41.7981,-5.1103,39.9518,sensor_1
-44.9238,-0.1423,39.9879,sensor_1
-46.7301,3.2852,40.5425,sensor_1
-48.9394,8.6462,40.5655,sensor_1
-51.4152,12.8495,40.3840,sensor_1
-53.4678,17.2774,40.1480,sensor_1
-56.0639,22.0689,40.4600,sensor_1
-58.1552,26.9320,39.5937,sensor_1
-8.3846,-59.9572,39.9852,sensor_1
-11.1337,-55.6126,40.3244,sensor_1
-13.2613,-51.3750,39.7744,sensor_1
-15.5825,-47.2451,39.9646,sensor_1
-17.7673,-42.8648,39.7809,sensor_1
-19.6311,-38.2896,40.3947,sensor_1
-22.0816,-34.2936,39.6705,sensor_1
-24.2782,-28.8324,40.4312,sensor_1
-26.6869,-24.5857,39.7265,sensor_1
-28.3762,-20.5956,40.4032,sensor_1
-30.7833,-16.1034,40.2485,sensor_1
-33.6461,-11.5770,40.5137,sensor_1
-34.1036,-6.8492,40.1645,sensor_1
-38.1668,-2.2691,39.5523,sensor_1
-40.3630,1.9399,39.7107,sensor_1
-41.8106,6.6529,39.9343,sensor_1
-44.8161,10.2614,39.6421,sensor_1
-46.7357,15.3983,40.2572,sensor_1
-49.0677,19.4377,40.2603,sensor_1
-51.9478,24.0924,40.6514,sensor_1
-53.2363,28.3818,40.0165,sensor_1
-5.6328,-53.2033,39.6083,sensor_1
-8.5365,-49.2938,40.5619,sensor_1
-10.9509,-44.6953,40.0285,sensor_1
-12.0919,-40.3148,40.0867,sensor_1
-15.3141,-35.6399,40.3727,sensor_1
-17.8467,-31.4794,39.6637,sensor_1
-20.0018,-27.5556,39.6683,sensor_1
-24.5174,-18.5349,40.3197,sensor_1
-26.2659,-13.8194,39.7410,sensor_1
-28.5332,-9.9917,39.4555,sensor_1
-30.8302,-4.5948,40.4768,sensor_1
-33.4316,-0.8136,39.9553,sensor_1
-35.4264,3.8153,39.8875,sensor_1
-38.3858,8.1307,40.4307,sensor_1
-40.0058,12.5866,39.7546,sensor_1
-42.6331,17.6425,39.7236,sensor_1
-44.7647,21.1510,39.6925,sensor_1
-46.8275,26.6755,39.7279,sensor_1
-49.5172,31.0954,39.9972,sensor_1
0.4185,-55.8333,40.2033,sensor_1
-1.2703,-51.2814,39.9321,sensor_1
-3.9728,-47.1265,39.6580,sensor_1
-6.5429,-42.3087,39.5770,sensor_1
-8.1211,-38.0948,40.0861,sensor_1
-10.5514,-33.5726,40.5598,sensor_1
-13.1510,-29.3651,40.0487,sensor_1
-14.6189,-24.4975,39.8106,sensor_1
-17.6671,-20.6224,40.1402,sensor_1
-19.7446,-15.1139,39.4945,sensor_1
-21.7283,-11.3107,39.8893,sensor_1
-24.4118,-7.1828,40.1537,sensor_1
-26.2754,-3.0866,40.5974,sensor_1
-29.0298,2.4294,40.2812,sensor_1
-30.7353,6.5559,40.5179,sensor_1
-33.4181,10.5207,40.3732,sensor_1
-35.4580,16.0045,39.4342,sensor_1
-38.0465,20.0957,39.6980,sensor_1
-40.3268,24.9215,40.6351,sensor_1
-42.8252,29.1342,40.5538,sensor_1
-44.5135,33.2229,40.2223,sensor_1
4.7631,-53.9224,40.3960,sensor_1
2.8479,-48.6373,40.0223,sensor_1
-0.3129,-44.9478,40.2369,sensor_1
-1.6067,-40.3516,39.8514,sensor_1
-3.4865,-36.1528,40.3893,sensor_1
-6.3809,-31.8844,40.6358,sensor_1
-9.4294,-27.3078,40.2923,sensor_1
-10.9444,-22.2910,40.1061,sensor_1
-13.2477,-17.3414,40.0644,sensor_1
-15.4139,-14.0224,39.8799,sensor_1
-17.4007,-8.9903,40.1429,sensor_1
-20.1430,-4.4919,39.5461,sensor_1
-22.2869,-0.3652,39.8468,sensor_1
-24.3832,3.9449,39.8624,sensor_1
-26.0750,8.8939,40.5643,sensor_1
-28.9573,13.4279,40.4184,sensor_1
-30.8199,18.3750,40.0663,sensor_1
-33.4232,21.9835,38.9156,sensor_1
-36.2722,26.4637,40.3686,sensor_1
-38.2542,31.3102,40.5968,sensor_1
-40.4667,35.8668,40.7611,sensor_1
9.6951,-51.8054,40.6624,sensor_1
7.2058,-47.1385,40.1897,sensor_1
4.8055,-42.1755,40.4215,sensor_1
3.1508,-37.8920,39.8719,sensor_1
0.3987,-33.3337,40.0076,sensor_1
-0.7933,-29.2698,39.9448,sensor_1
-3.6832,-24.4683,40.1402,sensor_1
-6.4358,-20.1257,40.4424,sensor_1
-8.3582,-15.9255,40.3012,sensor_1
-10.5998,-11.0972,39.0698,sensor_1
-13.4767,-7.1814,40.0694,sensor_1
-15.3724,-2.1323,40.3662,sensor_1
-17.7494,2.0083,40.7657,sensor_1
-20.1894,6.5618,40.6979,sensor_1
-22.1238,10.1950,40.2812,sensor_1
-24.6504,15.3257,40.5179,sensor_1
-26.6205,19.7279,40.4622,sensor_1
-28.9024,24.3122,40.2554,sensor_1
-33.5061,33.0666,39.9893,sensor_1
-35.8558,37.3065,39.7094,sensor_1
14.4448,-49.2741,40.1416,sensor_1
11.6722,-44.7270,40.1579,sensor_1
9.4723,-40.5619,40.4762,sensor_1
6.9374,-35.4629,39.4784,sensor_1
4.5381,-31.0229,40.0981,sensor_1
2.4048,-26.7838,39.7841,sensor_1
0.3966,-23.2353,39.9917,sensor_1
-2.1277,-17.8161,40.4565,sensor_1
-4.4693,-12.9869,39.9428,sensor_1
-7.1597,-9.9278,40.6886,sensor_1
-8.7407,-4.8665,39.8882,sensor_1
-11.3623,0.2884,40.1206,sensor_1
-12.6234,4.2005,39.3274,sensor_1
-15.2244,8.5963,40.0670,sensor_1
-17.2413,13.0880,40.5567,sensor_1
-20.0616,17.3721,40.3276,sensor_1
-22.5400,22.5202,40.4860,sensor_1
-24.5778,26.7588,40.3476,sensor_1
-26.9662,31.3137,40.0704,sensor_1
-28.9240,35.1228,40.1857,sensor_1
-31.2640,39.6345,40.0050,sensor_1
18.2586,-46.6646,39.8991,sensor_1
16.3291,-41.9302,40.2764,sensor_1
13.3422,-37.9644,40.5163,sensor_1
11.5366,-33.1647,40.3687,sensor_1
9.5146,-29.1890,39.9734,sensor_1
7.0079,-24.6201,40.3362,sensor_1
4.9752,-20.2921,40.1764,sensor_1
2.6942,-16.3000,39.8850,sensor_1
0.0093,-11.3472,40.0578,sensor_1
-2.0709,-7.1259,40.3901,sensor_1
-4.1530,-2.9401,40.1596,sensor_1
-6.9141,2.6860,39.9958,sensor_1
-8.9274,6.5749,40.0855,sensor_1
-11.0798,11.5423,40.2348,sensor_1
-13.0368,15.8505,39.8147,sensor_1
-15.0076,20.1521,40.4910,sensor_1
-18.1708,24.6525,40.3009,sensor_1
-20.3265,29.6206,40.3547,sensor_1
-22.4921,33.3446,40.4751,sensor_1
-24.2825,37.9355,40.5826,sensor_1
-26.4333,41.7549,39.9868,sensor_1
22.5775,-44.6095,40.6620,sensor_1
20.8651,-40.5544,40.0542,sensor_1
18.7266,-35.9193,40.1232,sensor_1
16.2032,-31.9158,40.4299,sensor_1
13.9465,-26.6242,39.8145,sensor_1
11.2880,-22.5771,40.2447,sensor_1
9.3114,-17.8684,40.7841,sensor_1
7.4738,-13.7098,39.9283,sensor_1
5.3474,-9.1140,40.6396,sensor_1
3.0365,-4.7379,40.0627,sensor_1
0.2360,-0.3953,39.8147,sensor_1
-2.2034,4.6605,40.0002,sensor_1
-4.4051,8.6542,39.6793,sensor_1
-6.0833,12.4523,39.9281,sensor_1
-8.6773,17.2386,40.3687,sensor_1
-10.7044,21.8813,40.2300,sensor_1
-13.8014,26.8145,40.1878,sensor_1
-15.6074,31.5702,40.3217,sensor_1
-17.4817,35.7690,39.7369,sensor_1
-20.1313,40.1734,39.6508,sensor_1
-22.0260,44.4809,40.2856,sensor_1
22.5076,-33.4381,40.2617,sensor_1
20.4373,-28.9803,39.4149,sensor_1
18.7582,-24.9435,39.3929,sensor_1
15.6753,-20.3908,40.3469,sensor_1
13.4216,-15.5441,39.8207,sensor_1
12.2438,-10.9978,40.8411,sensor_1
8.8462,-6.5015,39.8216,sensor_1
7.1337,-2.0416,39.5980,sensor_1
4.2633,1.7677,39.6296,sensor_1
2.1350,6.2946,39.6497,sensor_1
0.1548,11.2763,39.6951,sensor_1
-2.3447,15.5428,40.0738,sensor_1
-6.4523,24.3766,40.8496,sensor_1
-8.3512,28.7637,40.1121,sensor_1
-10.8147,33.0793,40.2934,sensor_1
-13.4846,37.5678,40.0727,sensor_1
-16.3210,42.0788,39.4551,sensor_1
-17.2430,47.2507,40.5833,sensor_1
31.9185,-39.7578,40.5983,sensor_1
29.8981,-35.3312,39.8334,sensor_1
27.4223,-31.3850,39.7391,sensor_1
24.6025,-26.5935,40.5206,sensor_1
22.2530,-21.6776,40.6659,sensor_1
20.3282,-17.9958,40.1258,sensor_1
18.5346,-13.5131,39.7639,sensor_1
16.0411,-9.6472,40.2000,sensor_1
14.0563,-4.3627,40.4235,sensor_1
9.2832,4.6949,40.2010,sensor_1
6.5499,8.8164,40.1244,sensor_1
5.0108,13.9191,40.2972,sensor_1
2.0367,17.5496,40.0844,sensor_1
0.5163,22.3771,40.1306,sensor_1
-2.5075,27.0239,40.2513,sensor_1
-4.5274,31.2063,40.7403,sensor_1
-6.8357,36.2161,40.5848,sensor_1
-9.0312,40.3895,40.1067,sensor_1
-11.6094,44.4414,39.8325,sensor_1
-13.4105,48.9954,40.3487,sensor_1
34.2840,-34.4775,40.2590,sensor_1
31.0941,-28.8721,39.8429,sensor_1
29.4912,-23.9975,39.5523,sensor_1
27.2515,-20.0478,39.4877,sensor_1
25.1417,-15.5533,39.9719,sensor_1
22.3923,-9.9859,40.0121,sensor_1
19.7448,-6.9811,40.0217,sensor_1
17.9705,-2.2278,39.7836,sensor_1
16.0246,2.0855,39.6737,sensor_1
13.2796,6.5752,40.4470,sensor_1
9.1948,15.5016,40.1569,sensor_1
6.8305,20.7885,39.9338,sensor_1
4.6488,24.7842,39.8164,sensor_1
2.2816,29.0422,39.9856,sensor_1
0.1440,33.8000,40.5456,sensor_1
-2.3917,37.9615,40.9727,sensor_1
-4.9808,42.4278,40.4615,sensor_1
-6.8119,47.0347,40.2104,sensor_1
-8.8706,51.7091,40.0725,sensor_1
40.7888,-35.5898,40.0087,sensor_1
38.4428,-31.5116,40.4106,sensor_1
36.7756,-26.0639,40.5965,sensor_1
33.5724,-21.6735,39.8996,sensor_1
31.6213,-17.1042,39.7748,sensor_1
29.6643,-13.1969,40.0968,sensor_1
26.7933,-8.6924,39.9877,sensor_1
25.1958,-3.9568,39.6672,sensor_1
22.3832,-0.0419,39.7364,sensor_1
19.8988,4.5558,40.0772,sensor_1
17.4420,8.7915,40.3316,sensor_1
15.3280,13.1116,40.7057,sensor_1
13.9413,17.3225,39.6772,sensor_1
11.3423,21.9279,40.0615,sensor_1
8.7824,26.9960,39.2649,sensor_1
5.8995,30.8258,40.5049,sensor_1
4.3464,35.1121,40.3225,sensor_1
2.3782,40.0790,40.0343,sensor_1
0.0137,45.0434,40.2034,sensor_1
-2.2229,49.0582,40.0166,sensor_1
-5.0000,53.6198,40.0449,sensor_1
45.0894,-32.9752,40.3208,sensor_1
43.2093,-29.3970,40.3454,sensor_1
40.4283,-24.6734,39.8517,sensor_1
38.7888,-19.6457,39.8991,sensor_1
35.6967,-15.4756,39.9891,sensor_1
34.4058,-11.5368,39.5096,sensor_1
31.4655,-6.5666,40.1964,sensor_1
29.5487,-1.3897,40.0302,sensor_1
26.8245,1.7240,40.2352,sensor_1
25.0438,6.7036,40.5632,sensor_1
22.4858,11.7800,40.2666,sensor_1
19.8352,15.4819,39.6132,sensor_1
17.3273,20.2532,40.4544,sensor_1
16.3493,24.5955,40.0671,sensor_1
13.0072,29.4155,40.2862,sensor_1
10.9171,33.7659,40.3465,sensor_1
8.2010,38.2399,40.1976,sensor_1
6.4485,42.2890,40.7619,sensor_1
4.8531,47.5291,39.7480,sensor_1
1.8165,51.6620,39.7270,sensor_1
-0.4764,55.1686,40.7986,sensor_1
50.0017,-30.8701,40.2267,sensor_1
47.2138,-26.7148,40.3655,sensor_1
44.8407,-21.6910,39.9776,sensor_1
42.5141,-17.2112,40.0996,sensor_1
40.7441,-13.3557,39.3625,sensor_1
38.4715,-9.2268,40.5288,sensor_1
35.4672,-4.9531,40.2577,sensor_1
33.8889,0.1920,39.7252,sensor_1
29.5111,8.5520,39.9875,sensor_1
26.6544,13.3875,40.4485,sensor_1
21.7914,22.0215,40.0158,sensor_1
19.9131,26.9925,39.4739,sensor_1
18.1026,31.6004,40.0911,sensor_1
15.0964,35.7968,39.9619,sensor_1
13.5088,40.2200,40.4049,sensor_1
10.8889,45.2099,39.3433,sensor_1
8.4149,49.3318,39.6212,sensor_1
6.7582,53.1892,40.1826,sensor_1
3.9105,57.9156,40.2111,sensor_1
54.0481,-28.8941,40.9036,sensor_1
51.8178,-24.6451,40.4747,sensor_1
49.8321,-19.4226,40.7755,sensor_1
46.9461,-15.0247,40.5489,sensor_1
45.0051,-10.8547,39.0990,sensor_1
42.5341,-5.8597,39.5246,sensor_1
40.2775,-1.9297,40.3514,sensor_1
38.7661,1.8076,40.1650,sensor_1
36.2260,6.4198,40.1361,sensor_1
34.3149,11.7954,40.3388,sensor_1
30.4703,15.7441,40.2852,sensor_1
29.0073,20.2218,41.2292,sensor_1
26.7703,24.3604,40.2350,sensor_1
24.4649,29.0464,40.1195,sensor_1
22.5763,33.6929,39.7295,sensor_1
19.9890,38.2309,39.9863,sensor_1
18.1676,42.7919,39.8032,sensor_1
15.6075,47.6692,40.6961,sensor_1
13.2059,51.7441,39.9141,sensor_1
10.4488,56.0790,40.2363,sensor_1
8.8657,60.3313,40.2641,sensor_1
58.3603,-26.3251,40.4416,sensor_1
56.2494,-21.7507,39.5302,sensor_1
53.7247,-17.0751,40.7666,sensor_1
51.8176,-13.1618,39.7062,sensor_1
49.5872,-8.3981,39.6314,sensor_1
47.3856,-4.0438,40.3043,sensor_1
44.5254,0.4291,39.6257,sensor_1
43.1711,4.7418,39.7427,sensor_1
38.5810,14.0085,39.9223,sensor_1
36.6117,17.7082,40.2597,sensor_1
31.7142,26.1750,40.5005,sensor_1
29.0078,31.4192,39.7731,sensor_1
26.8765,35.4913,39.8110,sensor_1
24.3338,39.9052,40.7005,sensor_1
21.7555,44.5256,40.0393,sensor_1
19.9518,49.5222,40.4364,sensor_1
17.5746,53.5655,40.1623,sensor_1
15.6984,58.3990,39.9693,sensor_1
12.4200,63.3600,40.4830,sensor_1
63.0870,-24.1016,39.9674,sensor_1
60.3745,-19.8821,40.0721,sensor_1
55.9661,-11.3657,40.0406,sensor_1
54.1168,-6.5738,40.1577,sensor_1
50.9203,-2.0183,40.1073,sensor_1
48.9460,1.9041,40.2941,sensor_1
46.8218,7.1354,40.0029,sensor_1
45.0533,11.3009,39.6227,sensor_1
42.5350,15.7596,40.3801,sensor_1
40.1376,20.1920,40.4510,sensor_1
38.4335,25.0504,40.5132,sensor_1
35.9144,29.5093,40.4574,sensor_1
33.6268,33.7167,40.1998,sensor_1
32.0572,38.1545,40.0671,sensor_1
28.8180,42.5931,40.2355,sensor_1
26.2797,46.3666,40.2533,sensor_1
23.8435,51.6054,40.1992,sensor_1
22.5392,56.5544,40.2787,sensor_1
17.4019,64.4687,39.8729,sensor_1
67.4638,-22.6751,40.1763,sensor_1
65.1757,-17.2702,40.0329,sensor_1
62.9457,-13.2984,39.9876,sensor_1
60.0194,-8.5424,40.6921,sensor_1
58.4270,-4.0026,39.8064,sensor_1
56.6010,0.0559,40.4306,sensor_1
53.8677,4.4437,40.5095,sensor_1
49.2956,13.7520,40.3082,sensor_1
44.7428,22.4670,40.3132,sensor_1
42.3387,27.0774,39.9163,sensor_1
39.6889,31.2740,39.9767,sensor_1
37.9457,36.3792,39.5587,sensor_1
35.7155,39.6455,39.7839,sensor_1
33.2231,44.0861,39.4998,sensor_1
31.1845,49.3569,40.1102,sensor_1
28.5794,54.5388,40.0936,sensor_1
26.2890,58.8272,40.3650,sensor_1
24.1909,63.1123,40.2048,sensor_1
22.2759,67.2320,39.7901,sensor_1
72.2448,-19.6247,39.7967,sensor_1
69.3679,-14.8914,40.0207,sensor_1
67.3812,-10.5417,40.1949,sensor_1
